,Game,finHypervolume,numPareto,RewardAgent0,RewardAgent1,RewardAgent2,global_Reward
161,1331,0.619,9.0,217.321,217.3,217.945,441.283
162,941,0.56,8.0,184.794,184.666,185.275,365.689
163,1581,0.661,14.0,226.435,226.268,226.928,453.367
164,1931,0.656,4.0,252.986,252.8,252.879,488.297
165,1151,0.677,7.0,225.637,225.516,225.875,446.561
166,1631,0.642,5.0,238.299,238.182,238.548,464.197
167,1201,0.595,18.0,200.875,200.842,201.524,396.142
168,1431,0.631,13.0,205.972,205.802,206.21,405.72
169,501,0.543,6.0,190.169,190.08,190.393,375.136
170,771,0.527,6.0,193.787,193.675,193.936,383.399
171,581,0.541,7.0,168.466,168.346,168.588,335.318
172,921,0.64,10.0,215.687,215.617,215.999,431.341
173,871,0.58,5.0,213.807,213.73,214.067,413.581
174,1761,0.683,9.0,256.605,256.748,256.902,510.346
175,691,0.565,9.0,191.846,191.725,191.888,382.553
176,1611,0.662,14.0,245.377,245.286,245.738,476.563
177,11,0.471,8.0,184.683,184.709,184.55,364.74
178,811,0.476,6.0,164.145,164.004,164.207,323.65
179,1231,0.587,6.0,213.444,213.343,213.749,422.388
180,1551,0.588,3.0,231.255,231.19,231.754,457.299
181,1051,0.617,12.0,205.321,205.231,205.771,416.236
182,1381,0.585,6.0,236.154,235.942,236.543,445.825
183,1011,0.598,14.0,206.031,205.771,206.044,412.117
184,781,0.521,8.0,203.527,203.412,203.903,400.175
185,341,0.555,7.0,189.625,189.558,189.795,376.124
186,361,0.486,6.0,192.259,192.162,192.291,369.281
187,231,0.489,8.0,183.259,183.115,183.441,355.682
188,1971,0.657,6.0,255.505,255.225,255.458,493.429
189,261,0.498,8.0,161.878,161.798,161.996,317.701
190,1901,0.6,7.0,237.403,237.278,237.415,462.625
191,1261,0.632,15.0,216.597,216.405,216.879,437.25
192,1301,0.631,8.0,232.016,231.739,232.176,454.928
193,121,0.449,6.0,157.733,157.605,157.672,311.636
194,1741,0.641,5.0,256.267,256.254,256.604,504.401
195,1401,0.63,6.0,217.807,217.442,217.901,423.518
196,101,0.466,11.0,154.045,153.878,153.996,301.123
197,211,0.506,5.0,173.072,172.871,173.003,323.848
198,131,0.444,7.0,147.582,147.453,147.434,277.876
199,21,0.425,2.0,176.122,175.962,175.968,312.841
200,301,0.522,9.0,175.214,175.052,175.229,350.275
